,id_fifa,nom_jugad,num_pos,equipo,liga,edad,apariciones_totales,min_jugados,tirosXp,pasesXp,regatesXp,faltadoXp,fuerajuegoXp,robadoXp,malcontroXp,goles_esperados,xGDiff,xG/90,total_disparos,xG/Shots,rating,goles
342,0,Azor Matusiwa,2,Rennes,Fra,26,10,766,0.5,0.7,0.6,1.0,0.0,0.4,0.5,0.18,-0.18,0.02,5,0.04,6.79,0
343,258937,Aïmen Moueffek,2,Saint-Etienne,Fra,23,9,433,0.6,0.2,0.3,0.1,0.2,0.1,1.8,0.84,-0.84,0.17,5,0.17,6.28,0
344,201143,Aïssa Mandi,2,Villarreal,Esp,33,17,1374,0.6,0.1,0.0,0.3,0.1,0.1,0.4,1.84,-0.84,0.12,10,0.18,6.63,1
348,240906,Badredine Bouanani,5,Nice,Fra,19,9,279,1.2,0.4,0.3,0.8,0.0,0.4,0.4,0.66,-0.66,0.21,11,0.06,6.31,0
349,246565,Bafodé Diakité,2,Lille,Fra,23,11,990,0.5,0.2,0.3,0.6,0.1,0.2,0.2,0.52,0.48,0.05,5,0.1,6.83,1
350,0,Bahereba Guirassy,10,Nantes,Fra,18,6,65,0.7,0.0,0.8,0.0,0.0,0.3,0.0,0.54,1.46,0.75,4,0.14,6.48,2
351,190223,Balthazar Pierret,2,Lecce,Ita,24,11,522,0.2,0.4,0.3,0.2,0.0,0.2,0.4,0.06,-0.05,0.01,2,0.03,6.2,0
352,0,Bamba Dieng,10,Angers,Fra,24,7,236,0.7,0.0,0.1,0.7,0.0,0.3,1.1,0.96,1.04,0.37,5,0.19,6.4,2
353,0,Bamo Meïté,2,Marseille,Fra,22,3,24,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.02,0
354,213839,Baptiste Guillaume,10,Almere City FC,Ned,29,6,291,1.2,0.5,0.0,0.8,0.0,0.5,1.0,0.99,0.01,0.31,7,0.14,6.72,1
355,258570,Baptiste Roux,2,AVS Futebol SAD,Por,24,9,803,0.1,0.2,0.0,0.2,0.0,0.0,0.2,0.04,-0.04,0.0,1,0.04,6.67,0
356,0,Baptiste Santamaría,2,Rennes,Fra,29,9,479,0.4,0.4,0.1,0.8,0.0,0.6,1.3,0.13,-0.13,0.02,4,0.03,6.43,0
