,goles
2928,0
3450,2
416,6
2941,1
2929,3
2559,2
2418,0
1004,0
3014,0
3392,1
1427,0
2107,3
1003,0
609,0
2012,0
2838,0
1775,0
2458,0
1932,0
1537,0
2706,0
1085,3
2101,0
2623,1
141,0
2423,1
1445,0
382,0
890,6
1769,1
1055,2
390,0
372,0
2383,2
2968,0
769,0
3201,0
10,1
2824,1
2299,0
1983,1
855,2
3220,0
105,0
145,2
2610,1
3372,0
2070,0
2791,2
2105,0
2489,0
2026,0
1788,0
558,5
2015,0
1372,0
1018,0
1202,0
2392,0
453,0
988,2
2562,0
518,0
2217,0
2536,0
1825,1
2581,0
1581,1
1287,2
1799,0
3231,0
2143,11
2338,1
882,0
2179,0
3333,0
1333,0
2555,0
3105,1
2378,0
3051,1
1121,1
2058,0
665,4
1413,0
3354,1
2322,0
2879,0
1909,1
3424,0
147,1
88,0
2234,0
782,6
1409,1
2009,0
2681,0
2906,1
1470,0
2013,1
1414,0
3339,0
2530,2
403,0
2079,0
357,0
2627,0
2686,0
1731,0
1200,1
3289,1
2116,1
2638,0
2947,0
1437,0
341,0
1749,0
2862,4
2242,0
2408,0
1803,0
2115,0
280,2
2918,0
2221,1
747,2
967,0
2208,1
154,1
2089,2
1977,0
1700,0
340,0
706,0
2323,0
2707,0
601,1
2375,1
124,0
574,0
241,0
781,1
2840,1
3332,8
1540,2
2978,0
2793,4
1568,0
3151,0
909,0
209,5
1574,0
1014,3
2203,0
1759,1
132,0
698,0
2034,0
3,0
78,0
1889,2
508,0
5,0
1331,3
985,0
245,0
1141,0
259,0
2664,0
1245,0
3282,3
1653,2
1732,0
3242,0
2712,0
2971,0
2168,0
2890,0
2151,6
1895,0
1400,0
1668,1
675,0
2698,0
1616,0
122,0
2474,0
2641,0
1254,2
3047,0
249,0
70,0
3433,0
2254,0
2380,6
579,2
140,3
2319,0
1340,1
2904,1
2155,0
2878,1
2711,0
2257,0
525,0
1784,0
3124,2
2642,0
3170,0
1911,3
984,0
1776,1
1098,0
1102,0
945,0
1430,0
3066,0
392,1
2311,3
27,0
514,0
568,0
783,3
59,0
691,0
323,0
3340,0
1370,0
3075,0
677,0
2237,0
1375,0
1124,0
360,0
50,0
118,0
1157,0
2485,0
2459,0
1229,0
2782,0
2495,0
1985,0
1887,0
1179,2
2141,0
566,1
2479,0
1535,0
3044,0
653,1
1612,0
2740,1
64,0
3202,0
724,0
103,2
719,0
2057,0
301,3
1852,0
387,0
965,0
2108,2
2176,1
2697,0
818,1
2345,2
3061,0
45,1
2361,0
220,0
1583,0
2283,0
72,0
2039,0
2775,1
2422,1
153,0
858,0
2368,0
2314,0
816,4
584,1
1091,1
2673,0
181,2
268,4
1426,2
2199,0
480,1
1456,0
2332,2
1424,0
3477,0
2337,0
468,0
2308,1
621,3
2787,0
3194,2
2003,0
820,0
419,0
252,0
3042,2
2163,0
288,0
828,0
2353,3
471,2
726,1
269,0
2389,0
1701,0
2329,1
2263,1
3056,0
3342,1
3192,1
482,1
1579,0
774,0
2794,0
3052,3
2230,0
2071,1
1253,1
93,0
2835,0
1570,0
2063,1
1798,0
2182,0
516,0
560,2
438,0
415,10
2848,2
2339,8
1763,0
3323,0
746,0
1325,5
66,3
915,0
3204,1
2896,1
1348,0
240,0
2381,3
401,1
1973,0
2962,0
3334,0
3033,1
3462,1
9,1
2736,1
2117,0
1987,1
766,1
275,0
1747,2
420,0
1708,0
990,0
2750,17
2218,0
2806,0
1309,0
2119,0
797,0
43,2
931,1
582,0
2935,2
1469,0
1230,0
1103,5
400,4
720,0
384,0
1035,0
1451,0
1107,0
511,0
1494,0
3059,0
1676,1
1342,0
2276,0
1682,0
3024,0
1335,0
1832,0
1338,1
3238,1
90,0
1257,1
876,0
2010,0
2409,0
3313,0
2288,0
149,1
1225,0
1000,0
995,4
885,0
1658,0
1299,1
546,0
3440,5
2621,0
2178,0
2669,1
2131,0
1482,1
957,0
891,0
3387,0
2767,0
1813,2
3008,5
2989,8
2937,0
705,1
188,0
41,0
3325,0
771,0
101,0
3427,0
1290,1
2893,0
3020,0
1976,0
1240,0
1419,1
233,1
552,2
1810,2
541,0
2899,1
2014,2
1486,3
1646,0
2609,0
3173,0
2258,0
1667,2
1302,0
1519,1
2406,0
3283,0
1806,1
1282,0
1669,0
2783,3
1021,0
808,0
251,0
790,1
3473,2
1241,0
3007,2
2680,0
1294,3
1143,2
2343,2
1140,0
2876,0
1252,0
1615,0
2894,0
947,0
159,2
3414,2
913,1
775,2
3306,0
2741,6
284,0
79,0
2731,0
429,4
2972,0
2415,0
3260,1
430,0
1463,4
3040,0
2073,0
640,0
2292,0
1391,0
1970,0
935,2
3378,0
2540,0
1675,4
39,6
2952,1
2330,0
2987,0
1045,1
1698,0
1204,2
2433,0
2746,4
2062,0
728,0
786,0
446,0
1643,1
1779,0
887,0
666,2
126,0
451,2
1755,3
2913,0
3410,0
100,1
2264,0
811,1
2790,0
1760,0
11,0
2679,1
305,0
1144,1
1276,0
1547,1
3262,0
3261,3
3161,1
1695,1
2659,0
3011,0
1817,2
914,0
2395,0
958,0
538,1
2511,0
1919,0
359,0
557,0
1446,0
1087,0
3269,0
3264,1
1918,0
2823,0
1922,4
2252,0
383,1
3316,0
1407,4
1765,1
593,1
2611,0
2715,0
2764,0
2463,1
1312,0
3128,0
1025,0
1910,0
2328,0
1080,0
1170,4
3122,1
1067,0
1809,1
169,0
3240,0
624,2
1580,0
761,0
1297,0
959,0
528,0
602,1
1226,1
1201,0
554,3
686,1
3446,0
1794,0
1084,0
2104,0
1235,0
3266,0
128,6
798,1
3324,0
2150,0
1159,0
1956,0
893,3
134,0
709,0
3185,1
3140,2
3399,0
688,0
397,0
289,0
2967,1
49,0
1062,1
939,0
831,0
1304,0
1208,0
4,0
1722,0
2519,1
3337,1
2730,1
1155,0
900,1
737,0
1848,6
2572,0
2877,0
2584,0
2385,0
1233,1
617,4
53,1
916,0
2161,0
3046,2
1972,2
896,1
1197,1
1251,0
2761,0
2077,7
1039,1
2965,0
433,1
2810,0
2591,0
19,3
741,0
38,0
3291,3
567,1
2690,2
986,0
1990,3
2060,1
580,0
1838,0
3398,1
265,0
843,0
1510,0
2781,0
170,0
1816,2
678,0
3004,1
3341,0
1444,0
612,1
3400,2
1892,0
1965,0
2247,0
142,0
3457,0
2188,0
1048,1
3454,2
206,0
1224,0
1063,1
757,0
656,0
196,0
322,0
2788,0
3233,0
1138,1
3280,16
3343,0
2816,2
1147,1
2768,0
2393,0
1328,0
16,3
3460,1
589,0
711,2
3154,0
3188,0
1631,0
1027,0
2545,2
859,0
242,1
2256,0
1942,0
2721,1
3436,2
2476,1
2267,0
1826,0
3069,2
1120,0
510,4
1022,0
3456,0
3006,0
692,0
3236,1
1303,1
1243,2
1518,0
3165,1
1654,0
3388,1
1395,0
3331,0
3127,0
1730,0
176,0
1837,0
1024,3
3148,1
3382,0
940,1
2092,1
2054,0
2388,1
110,0
3288,1
2808,0
273,0
115,0
1552,1
1550,3
1778,0
630,1
680,0
1829,0
2284,0
2387,0
437,0
1239,0
2452,1
3142,0
1812,0
2238,0
3308,1
486,1
2507,0
1422,1
2231,0
943,5
3385,2
676,4
2619,0
3228,1
1924,3
282,0
1764,1
1545,0
2386,0
2142,3
2763,0
1945,0
693,3
3468,0
2608,1
2858,1
3292,0
2132,0
530,0
1992,5
1868,4
3190,0
162,0
1661,0
2165,1
1467,0
2685,1
3404,1
3086,0
712,1
1934,1
2753,0
202,2
1232,0
658,4
2379,0
3071,2
2103,0
213,0
3210,0
2541,0
314,0
824,1
434,0
137,2
218,0
898,0
2493,0
1546,0
1867,0
1828,1
3395,5
1840,0
3380,0
1238,4
1791,0
2667,1
1893,0
917,0
1716,2
2465,0
694,2
1,0
2347,1
756,0
1766,1
1386,0
3320,1
2725,0
1647,0
2011,0
1221,0
3365,1
1761,0
2180,0
716,3
740,1
1343,0
338,0
701,0
1541,2
1592,0
767,2
1377,0
1902,0
1040,0
2939,1
2944,0
1401,0
1498,1
1509,1
2431,2
1619,0
2220,0
1656,1
1793,2
1452,0
3391,0
3416,2
1773,2
1126,1
857,0
2957,4
1724,0
2864,1
2997,1
2886,0
1968,0
1855,0
1268,0
2826,0
1137,1
583,0
1808,5
3068,0
3355,0
2776,5
1891,7
2096,4
106,1
1092,1
606,1
3062,0
926,0
1604,0
3218,0
2051,0
1110,11
222,0
426,1
3121,0
933,2
431,1
3089,2
3347,1
1100,0
2954,1
1605,0
2921,5
1028,2
1697,0
3045,0
2065,1
3002,0
2333,0
866,0
1885,0
2689,0
544,0
3259,5
838,0
2024,0
216,0
2370,1
2270,0
3350,0
2477,0
1939,2
406,0
2550,0
452,0
1831,0
425,0
2901,0
1649,0
1247,3
1618,0
2959,2
2209,0
1237,1
1465,0
2822,0
68,0
2244,0
1265,0
534,0
410,0
2426,2
821,0
2462,0
853,3
1154,0
941,4
364,0
3039,0
2560,0
1088,0
1369,0
489,0
877,0
2531,2
1066,0
2160,0
217,0
177,1
1706,6
3049,3
2684,11
760,0
1624,0
1214,0
2873,2
1093,0
3358,0
1712,0
2128,0
2450,0
34,0
834,0
2807,2
1591,0
3285,4
1488,0
2326,0
1461,1
3224,3
2872,2
3099,1
2223,0
258,0
2243,0
2586,0
650,0
2670,0
1392,0
2403,0
3167,0
2250,0
699,0
1655,0
3158,0
1353,0
2069,0
605,0
3439,0
3005,0
3287,0
205,1
1949,0
1043,1
3018,0
2229,1
2809,0
1160,1
515,0
3183,0
805,0
2506,0
21,1
493,0
1269,0
2538,3
1023,2
1300,0
2668,0
3132,0
1642,0
2617,0
827,3
1815,0
146,4
3198,0
3464,1
2321,0
1595,0
354,1
1323,0
504,1
2357,0
1768,0
3377,0
1173,1
1215,2
1389,2
923,0
3467,0
