,nom_jugad,num_pos,equipo,liga,edad,apariciones_totales,min_jugados,tirosXp,pasesXp,regatesXp,faltadoXp,fuerajuegoXp,robadoXp,malcontroXp,goles_esperados,xGDiff,xG/90,total_disparos,xG/Shots,rating
458,Bryan Cristante,5,Roma,Ita,29,12,830,1.1,0.5,0.2,0.4,0.0,0.4,1.0,0.75,0.25,0.08,13,0.06,6.69
700,Dean James,2,Go Ahead Eagles,Ned,24,7,421,0.4,1.1,0.0,0.1,0.0,0.3,0.4,0.1,-0.1,0.02,3,0.03,6.33
3317,Wendell,5,Porto,Por,31,1,22,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,-0.09,0.37,1,0.09,6.18
1858,Logan Costa,2,Toulouse,Fra,23,1,90,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,7.73
3448,Álvaro Aguirre,10,Rayo Vallecano,Esp,24,1,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,5.98
1543,Joselu,10,Deportivo Alaves,Esp,34,37,3126,2.6,0.9,0.5,1.5,0.3,0.9,2.1,13.93,0.07,0.4,97,0.14,7.25
1077,Gianluca Lapadula,10,Cagliari,Ita,34,8,176,1.0,0.3,0.1,0.0,0.0,0.0,0.3,0.73,-0.73,0.37,8,0.09,6.18
673,David Alaba,5,Real Madrid,Esp,32,30,2645,0.7,0.7,0.1,0.2,0.1,0.1,0.6,1.84,0.16,0.06,21,0.09,6.75
3432,Zépiqueno Redmond,10,Feyenoord,Ned,18,1,68,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0,0.0,6.59
596,Cédric Kipré,2,Reims,Fra,27,8,521,0.4,0.4,0.4,0.1,0.0,0.1,0.3,0.21,-0.21,0.04,3,0.07,6.68
3109,Taylor Booth,5,FC Utrecht,Ned,23,7,179,0.0,0.1,0.3,0.6,0.1,0.6,1.1,0.0,0.0,0.0,0,0.0,6.16
1720,Kevin De Bruyne,10,Man City,Ing,33,5,374,3.0,3.2,0.8,0.8,0.4,1.8,1.0,0.99,0.01,0.24,15,0.07,7.4
1069,Gerónimo Rulli,0,Villarreal,Esp,32,32,2880,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0,0.0,6.71
2137,Mason Mount,5,Man Utd,Ing,25,3,148,0.7,1.3,0.0,0.7,0.0,1.3,1.0,0.46,-0.46,0.28,2,0.23,6.14
3214,Toni Borevkovic,2,Vitoria de Guimaraes,Por,27,10,900,0.3,0.1,0.1,0.9,0.1,0.1,0.1,0.24,-0.24,0.02,3,0.08,6.7
3206,Tomás Mendes,5,Deportivo Alaves,Esp,19,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.04
3465,Érik Lamela,10,Sevilla,Esp,32,20,1016,1.1,1.1,0.9,0.7,0.3,1.5,1.5,2.67,2.33,0.24,21,0.13,6.86
1811,Leandro Bacuna,5,FC Groningen,Ned,33,12,1035,1.3,0.9,0.5,0.5,0.0,0.5,1.8,1.68,0.32,0.15,15,0.11,6.66
474,Calvin Twigt,2,Go Ahead Eagles,Ned,21,6,254,0.3,1.0,0.0,1.2,0.0,0.5,0.5,0.06,-0.06,0.02,2,0.03,6.39
550,Christopher Trimmel,5,Union Berlin,Ger,37,8,553,0.9,1.1,0.0,0.4,0.1,0.3,0.3,0.16,-0.16,0.03,7,0.02,6.67
633,Daniel Penha,5,Nacional,Por,26,9,478,1.4,0.9,0.6,0.4,0.3,0.3,1.2,0.79,0.21,0.15,13,0.06,6.55
1696,Karol Mets,5,St. Pauli,Ger,31,10,900,0.3,0.3,0.0,0.5,0.0,0.0,0.4,0.11,-0.11,0.01,3,0.04,6.73
702,Dehmaine Assoumani,5,Nantes,Fra,19,5,30,0.4,0.6,0.2,0.2,0.0,0.2,0.4,0.08,-0.08,0.24,2,0.04,6.24
3466,Étienne Capoue,5,Villarreal,Esp,36,30,2298,0.5,0.2,1.4,1.5,0.0,0.5,0.8,0.57,0.43,0.02,14,0.04,6.96
1839,Leroy Sané,10,Bayern,Ger,28,6,186,1.3,1.0,1.0,0.5,0.2,0.5,1.2,0.71,0.29,0.34,8,0.09,6.74
2351,Morgan Gibbs-White,10,Nottingham Forest,Ing,24,8,632,1.9,1.6,1.3,1.5,0.3,1.8,1.4,1.17,-0.17,0.17,15,0.08,6.75
1462,Jofre Carreras,5,Espanyol,Esp,23,3,17,0.0,0.7,0.0,1.3,0.0,0.0,0.3,0.0,0.0,0.0,0,0.0,6.56
2053,Marco Carnesecchi,0,Atalanta,Ita,24,11,990,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.71
683,David Raum,5,RBL,Ger,26,6,488,0.5,2.5,0.5,0.7,0.2,0.3,0.3,0.27,-0.27,0.05,3,0.09,7.19
3276,Victor Jensen,5,FC Utrecht,Ned,24,11,491,0.7,0.6,0.1,0.5,0.1,0.5,1.2,1.78,-0.78,0.33,8,0.22,6.35
523,Cherrion Valerius,2,NAC Breda,Ned,19,7,562,0.3,0.3,0.6,1.1,0.0,0.9,1.7,0.12,-0.12,0.02,2,0.06,6.64
3304,Vítinha,10,Genoa,Ita,24,7,502,2.0,0.3,1.6,1.7,0.6,2.3,3.0,0.84,-0.84,0.15,14,0.06,6.58
2994,Serge Gnabry,10,Bayern,Ger,29,8,479,2.3,1.0,1.0,0.0,0.3,0.3,1.0,2.17,-0.17,0.41,18,0.12,7.26
1703,Kees Smit,5,AZ Alkmaar,Ned,18,1,45,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.08,-0.08,0.15,2,0.04,6.92
2416,Niccolò Pisilli,5,Roma,Ita,20,9,498,1.3,0.8,0.2,0.9,0.0,0.4,1.8,1.19,-0.19,0.22,12,0.1,6.44
2251,Memphis Depay,10,Barcelona,Esp,30,28,1850,2.2,1.6,1.6,1.6,0.5,1.2,2.7,11.93,0.07,0.58,61,0.2,7.1
1897,Lucas Mincarelli,2,Montpellier,Fra,20,4,253,0.3,0.3,0.0,1.3,0.0,0.3,1.0,0.02,-0.02,0.01,1,0.02,6.15
919,Federico Accornero,5,Genoa,Ita,20,1,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,5.92
